timestamp,initial_price,final_price,tick_count,max_gap,volume_sum,future_return,target,label_source,label_threshold,label_version
2025-12-06 08:15:00,89541.1,89286.9,15,60.0,84.283909,-0.002838919780972188,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-10-12 03:45:00,110908.1,110678.6,15,60.0,71.200392,-0.0020692807829184516,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-05-12 18:15:00,102135.2,101638.6,15,60.0,218.68123500000002,-0.0048621826755123245,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-08-25 16:45:00,112778.7,112508.0,15,60.0,65.201069,-0.0024002759386302086,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-10-10 19:00:00,117279.2,116814.1,15,60.0,315.277901,-0.003965750107435822,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-07-17 01:15:00,119013.7,118686.7,15,60.0,75.161179,-0.002747582841303121,0.0,bybit_spot_1m_ohlcv,0.002,v1
2026-02-14 17:00:00,69723.0,69862.5,15,60.0,45.189331,0.0020007744933522365,1.0,bybit_spot_1m_ohlcv,0.002,v1
2026-04-06 09:00:00,69217.4,69637.0,15,60.0,175.525143,0.006062059539942265,1.0,bybit_spot_1m_ohlcv,0.002,v1
2026-03-10 01:45:00,68940.7,69259.6,15,60.0,118.246882,0.0046257145633856935,1.0,bybit_spot_1m_ohlcv,0.002,v1
2025-11-21 19:15:00,84565.1,84898.9,15,60.0,128.263844,0.003947254836806015,1.0,bybit_spot_1m_ohlcv,0.002,v1
2026-02-04 00:45:00,76071.4,75910.6,15,60.0,67.88878700000001,-0.0021138036108180767,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-07-06 20:00:00,108556.4,108796.5,15,60.0,41.727154,0.0022117535216717174,1.0,bybit_spot_1m_ohlcv,0.002,v1
2026-03-04 03:30:00,67905.7,67574.1,15,60.0,187.894375,-0.004883242496579615,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-10-31 16:30:00,110138.3,109702.4,15,60.0,76.735438,-0.0039577512999565525,0.0,bybit_spot_1m_ohlcv,0.002,v1
