iter	Passed	Remaining
405	7069	167047
406	7086	167020
407	7104	167017
408	7121	166991
409	7137	166953
410	7155	166934
411	7173	166939
412	7190	166912
413	7208	166907
414	7225	166873
415	7241	166842
416	7259	166832
417	7278	166841
418	7296	166834
419	7312	166789
420	7328	166750
421	7346	166742
422	7364	166728
423	7381	166717
424	7398	166686
425	7416	166668
426	7433	166658
427	7450	166634
428	7468	166611
429	7484	166580
430	7501	166556
431	7521	166579
432	7538	166560
433	7555	166528
434	7572	166509
435	7589	166491
436	7607	166477
437	7625	166468
438	7643	166462
439	7661	166473
440	7680	166470
441	7700	166509
442	7716	166471
443	7733	166454
444	7751	166430
445	7768	166407
446	7785	166394
447	7803	166373
448	7819	166340
449	7837	166332
450	7854	166307
451	7872	166290
452	7889	166273
453	7907	166262
454	7925	166253
455	7942	166240
456	7959	166211
457	7975	166166
458	7991	166120
459	8008	166092
460	8025	166060
461	8041	166021
462	8058	165999
463	8076	165977
464	8093	165954
465	8110	165937
466	8127	165913
467	8143	165863
468	8160	165844
469	8177	165819
470	8196	165825
471	8213	165795
472	8230	165783
473	8248	165779
474	8265	165748
475	8283	165729
476	8300	165714
477	8317	165696
478	8334	165662
479	8350	165627
480	8367	165599
481	8384	165562
482	8401	165534
483	8418	165509
484	8434	165466
485	8451	165442
486	8467	165412
487	8484	165383
488	8502	165374
489	8520	165358
490	8538	165364
491	8556	165350
492	8571	165301
493	8589	165296
494	8607	165280
495	8625	165279
496	8642	165257
497	8659	165230
498	8677	165211
499	8693	165174
500	8709	165141
501	8726	165107
502	8743	165090
503	8761	165078
504	8778	165052
505	8796	165043
506	8814	165034
507	8831	165026
