iter	Logloss
0	0.6928787765
5	0.691628874
10	0.6904764899
15	0.6894073812
20	0.6884581816
25	0.6875631944
30	0.686835849
35	0.6861299319
40	0.6854914435
45	0.6848083021
50	0.6842908776
55	0.6838141286
60	0.6833573964
65	0.6829519897
70	0.6825823183
75	0.682275713
80	0.6819437017
85	0.6816322846
90	0.681350508
95	0.6810256822
100	0.6807110573
105	0.6804691863
110	0.680241558
115	0.6799180795
120	0.6796753744
125	0.6794804019
130	0.6792076714
135	0.6789513009
140	0.6786582969
145	0.6784023113
150	0.6781576173
155	0.6779828542
160	0.6777339901
165	0.6775177175
170	0.6772720612
175	0.6770622685
180	0.676847215
185	0.6766543597
190	0.6764471974
195	0.6762555611
200	0.6760263931
205	0.6758573399
210	0.675665447
215	0.6754834984
220	0.6753189362
225	0.675123643
230	0.6748178717
235	0.6746757644
240	0.6744741197
245	0.6743024361
250	0.6741047049
255	0.6738333217
260	0.6736581095
265	0.6735190818
270	0.6733130743
275	0.6731360658
280	0.6729986419
285	0.6728105342
290	0.6726261476
295	0.6724456104
300	0.6722720022
305	0.6720718972
310	0.6718943753
315	0.6717223069
320	0.6715029548
325	0.6713282559
330	0.671140469
335	0.6709988749
340	0.6708007588
345	0.670660897
350	0.6705191105
355	0.6703314519
360	0.6701661199
365	0.6700560268
370	0.6698823544
375	0.669720551
380	0.6695337265
385	0.6693673679
390	0.6691684177
395	0.6689944245
400	0.6688691263
405	0.6687248377
410	0.6685978073
415	0.6684399816
420	0.6682530929
425	0.6680752503
430	0.6679572018
435	0.6678186873
440	0.66763892
445	0.6674932841
450	0.6673705521
455	0.6672473711
460	0.6671431805
465	0.6669896533
470	0.6668421569
475	0.6666709224
480	0.666533691
485	0.6664115365
490	0.6662175264
495	0.6660385931
500	0.6658951386
505	0.6657580355
