timestamp,p_model,p_market,decision,bet_amount,entry_price_exchange,execution_price,target_time,resolved,is_win,net_profit,bankroll,win_return,win_rate,max_drawdown
2026-05-08 07:14:01,0.691358024691358,0.555,BET_YES,3.509716203752608,79355.6,0.56,2026-05-08 07:16:01,True,False,-3.509716203752608,66.68460787129955,-0.0015086410277506,0.0,0.333153921283673
2026-05-08 07:16:01,0.691358024691358,0.595,BET_YES,3.509716203752608,79341.2,0.6,2026-05-08 07:18:01,True,True,2.293014576897477,68.97762244819702,-1.2656542480726783e-14,0.5,0.333153921283673
2026-05-08 07:20:01,0.691358024691358,0.575,BET_YES,3.4488811224098512,79339.9,0.58,2026-05-08 07:22:01,True,False,-3.4488811224098512,65.52874132578717,-1.6384929910406854e-05,0.3333333333333333,0.3447125867386812
2026-05-08 07:22:00,0.5641361256544501,0.725,BET_NO,3.4488811224098512,79361.8,0.28,2026-05-08 07:24:00,True,True,8.69118038536181,74.21992171114897,0.0002596381199049,0.5,0.3447125867386812
2026-05-08 07:24:01,0.691358024691358,0.425,BET_YES,3.710996085557449,79310.9,0.43,2026-05-08 07:26:01,True,False,-3.710996085557449,70.50892562559152,-0.0003818949045515,0.4,0.3447125867386812
2026-05-08 07:26:01,0.5641361256544501,0.135,BET_YES,3.710996085557449,79264.7,0.14,2026-05-08 07:28:01,True,True,22.34019624950604,92.84912187509757,-0.0009641901055316,0.5,0.3447125867386812
2026-05-08 07:28:01,0.5309381237524947,0.315,BET_YES,3.525446281279576,79301.0,0.32,2026-05-08 07:30:01,True,True,7.341741847025093,100.19086372212264,-0.0005066724476185,0.5714285714285714,0.3447125867386812
2026-05-08 07:32:01,0.5641361256544501,0.875,BET_NO,5.009543186106132,79464.5,0.13,2026-05-08 07:34:01,True,False,-5.009543186106132,95.18132053601651,0.0007052141773109,0.5,0.3447125867386812
2026-05-08 07:34:01,0.5641361256544501,0.925,BET_NO,5.009543186106132,79502.5,0.0799999999999999,2026-05-08 07:36:01,True,False,-5.009543186106132,90.1717773499104,0.0011837523690663,0.4444444444444444,0.3447125867386812
2026-05-08 07:36:02,0.5309381237524947,0.965,BET_NO,4.759066026800826,79525.8,0.04,2026-05-08 07:38:02,True,False,-4.759066026800826,85.41271132310956,0.001477171839274,0.4,0.3447125867386812
2026-05-08 07:44:02,0.3876811594202898,0.505,BET_NO,4.270635566155479,79593.7,0.5,2026-05-08 07:46:02,True,True,4.185222838091479,89.59793416120104,0.0023322440292787,0.4545454545454545,0.3447125867386812
2026-05-08 07:46:01,0.3833333333333333,0.535,BET_NO,4.270635566155479,79597.2,0.47,2026-05-08 07:48:01,True,False,-4.270635566155479,85.32729859504556,-1.2656542480726783e-14,0.4166666666666667,0.3447125867386812
2026-05-08 07:50:01,0.3833333333333333,0.905,BET_NO,4.266364929752278,79697.3,0.0999999999999999,2026-05-08 07:52:01,True,True,37.62933826231138,122.95663685735694,0.0012575819249798,0.4615384615384615,0.3447125867386812
2026-05-08 07:52:01,0.3876811594202898,0.895,BET_NO,4.266364929752278,79692.1,0.1099999999999999,2026-05-08 07:54:01,True,False,-4.266364929752278,118.69027192760468,0.0011922529938113,0.4285714285714285,0.3447125867386812
2026-05-08 07:54:02,0.4230882124483024,0.965,BET_NO,6.147831842867848,79716.0,0.04,2026-05-08 07:56:02,True,True,144.59700117870486,263.2872731063095,0.0014925148120661,0.4666666666666667,0.3447125867386812
2026-05-08 07:58:01,0.4320987654320987,0.985,BET_NO,13.164363655315476,79667.1,0.02,2026-05-08 08:00:01,True,False,-13.164363655315476,250.12290945099403,0.0008781715939631,0.4375,0.3447125867386812
2026-05-08 08:00:01,0.4646464646464646,0.395,BET_YES,7.091913075576692,79693.1,0.4,2026-05-08 08:02:01,True,False,-7.091913075576692,243.0309963754173,0.0012048162498052,0.4117647058823529,0.3447125867386812
2026-05-08 08:04:01,0.3876811594202898,0.585,BET_NO,12.151549818770867,79711.7,0.42,2026-05-08 08:06:01,False,,0.0,243.03099637541732,0.0003488785061851,0.4117647058823529,0.3447125867386812
2026-05-08 08:06:02,0.38768115942028986,0.645,BET_NO,12.151549818770867,79721.9,0.36,2026-05-08 08:08:02,False,,0.0,243.03099637541735,0.0004768842890345848,0.4117647058823529,0.3447125867386812
